* Q2    W      t       tmin    p*     q*     x      sig    dsig
* --------------------------------------------------------------
* Fit W dependence at Q^2=1.9, t=tmin ~ 0.4/0.5
*1.90   1.94   0.579   0.579   0.513  1.402  0.397  170.0   12.3
*1.90   2.00   0.520   0.520   0.564  1.412  0.379  162.7   11.9
*1.90   2.14   0.414   0.414   0.675  1.441  0.339  152.1   12.8
* ---------------------------------------------------------------
* Fit Q2 dependence at W=2.2, t=0.5
*1.90   2.00   0.520   0.520   0.564  1.412  0.379  162.7   11.9
*2.35   2.08   0.571   0.571   0.629  1.555  0.405  118.1   9.0
* Fit Q2 dependence at W=2.2, t=0.2
*0.52   1.84   0.22    0.243   0.420  0.901   0.172 376.6   12.0
*0.70   2.21   0.21    0.21    1.0    3.14159 0.149 1340    137
*1.35   2.21   0.19    0.19    1.0    3.14159 0.252  940    173
* Fit Q2 dependence at W=2.2, t=0.7
*1.90   1.91   0.599   0.612   0.486  1.397   0.407  170.7   15.2 
*2.00   1.84   0.74    0.808   0.419  1.421   0.444  184.5   8.0 
*2.35   1.98   0.674   0.674   0.548  1.543  0.436  135.1   11.6
*----------------------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2 and t=0.3-0.4, x=0.2-0.3
*----------------------------------------------------------------
*0.75    1.84   0.30    0.325   0.420  0.989   0.230  329.7   10.8
*1.00    1.81   0.41    0.417   0.389  1.072   0.295  293.9   10.4
*1.90    2.14   0.414   0.414   0.675  1.441   0.339  152.1   12.8
*----------------------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2 and t=0.5-0.6, x=0.3-0.5
*----------------------------------------------------------------
*1.90   2.00   0.520   0.520   0.564  1.412  0.379  162.7   11.9
*2.35   2.08   0.571   0.571   0.629  1.555  0.405  118.1   9.0
*1.90   1.94   0.579   0.579   0.513  1.402  0.397  170.0   12.3
*1.90   1.91   0.599   0.612   0.486  1.397  0.407  170.7   15.2  
*2.35   1.98   0.674   0.674   0.548  1.543  0.436  135.1   11.6
*----------------------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2, t=0.2 and x=0.1-0.2
*----------------------------------------------------------------
*0.52   1.84    0.22   0.243   0.420  0.901   0.172  376.6   12.0
*1.35    2.21   0.19    0.19    1.0    3.14159 0.252  940    160
*0.70    2.21   0.21    0.21    1.0    3.14159 0.149 1340    100
*----------------------------------------------------------------
* Fit t dependence at Q2=1.6, W=2.2, t=0.2 and x=0.1-0.2
*----------------------------------------------------------------
1.35    2.21   0.19    0.19    1.0    3.14159 0.252  940    160
0.70    2.21   0.21    0.21    1.0    3.14159 0.149 1340    100
0.52    1.84   0.22   0.243    0.420  0.901   0.172  376.6   12.0
*0.75    1.84   0.30    0.325   0.420  0.989   0.230  329.7   10.8
*1.00    1.81   0.41    0.417   0.389  1.072   0.295  293.9   10.4
*1.90    2.14   0.414   0.414   0.675  1.441   0.339  152.1   12.8
*----------------------------------------------------------------
* Fit t dependence at Q2=1.6, W=2.2, t=0.3-0.4 and x=0.3-0.5
*----------------------------------------------------------------
*0.75    1.84   0.30    0.325   0.420  0.989   0.230  329.7   10.8
*1.00    1.81   0.41    0.417   0.389  1.072   0.295  293.9   10.4
1.90    2.14   0.414   0.414   0.675  1.441   0.339  152.1   12.8
*
1.90   2.00   0.520   0.520   0.564  1.412  0.379  162.7   11.9
2.35   2.08   0.571   0.571   0.629  1.555  0.405  118.1   9.0
1.90   1.94   0.579   0.579   0.513  1.402  0.397  170.0   12.3
1.90   1.91   0.599   0.612   0.486  1.397  0.407  170.7   15.2  
*2.35   1.98   0.674   0.674   0.548  1.543  0.436  135.1   11.6
*----------------------------------------------------------------
*0.52   1.84    0.22   0.243   0.420  0.901   0.172  376.6   12.0
*0.75   1.84    0.30   0.325   0.420  0.989   0.230  329.7   10.8
*1.00   1.81    0.41   0.417   0.389  1.072   0.295  293.9   10.4
*2.00   1.84   0.74    0.808   0.419  1.421   0.444  184.5   8.0
*1.90   1.91   0.599   0.612   0.486  1.397   0.407  170.7   15.2  
*1.90   1.94   0.579   0.579   0.513  1.402  0.397  170.0   12.3
*1.90   2.00   0.520   0.520   0.564  1.412  0.379  162.7   11.9
*1.90   2.14   0.414   0.414   0.675  1.441  0.339  152.1   12.8
*2.35   1.80   0.950   0.950   0.378  1.533   0.499  134.7   10.7
*2.35   1.85   0.856   0.856   0.430  1.534  0.480  135.4   10.4
*2.35   1.98   0.674   0.674   0.548  1.543  0.436  135.1   11.6
*2.35   2.08   0.571   0.571   0.629  1.555  0.405  118.1   9.0
*1.19   2.14   0.255   0.255   0.675  1.238   0.243 1011.3   63.9
*1.99   2.65   0.224   0.224   1.023  1.614   0.245  260.7   24.7
*3.38   2.56   0.453   0.453   0.966  1.892   0.373  166.7   49.8
*1.35    2.21   0.19    0.19    1.0    3.14159 0.252  940    160
*1.35    2.21   0.29    0.29    1.0    3.14159 0.252  370     60
*1.35    2.21   0.39    0.39    1.0    3.14159 0.252  230     50
*1.35    2.21   0.52    0.52    1.0    3.14159 0.252  230     50
*0.70    2.21   0.13    0.13    1.0    3.14159 0.149 1340    110 
*0.70    2.21   0.21    0.21    1.0    3.14159 0.149 1340    100
*0.70    2.21   0.29    0.29    1.0    3.14159 0.149  870     90
