* Q2    W      t       tmin    x      sig    dsig
* ----------------------------------------------
* Fit W dependence at Q^2=1.6, t=0.14
*1.455  2.001  0.135    0.132  0.318  7.152  0.356   
*1.617  2.397  0.139    0.070  0.250  2.807  0.124
*1.593  2.213  0.139    0.094  0.284  4.292  0.473 
*--------------------------------------------------
* Fit Q^2 dependence at W=2.2 and t=0.14
*0.70    2.19   0.14     0.024  0.152  5.81    0.9
*1.939  2.274   0.145    0.116  0.311  3.175   0.361
*2.125  2.308   0.145    0.126  0.323  2.768   0.272
*1.35   2.19    0.14     0.14   0.256  4.62    0.21
*1.455  2.001   0.135    0.132  0.318  7.152  0.356   
*1.593  2.213   0.139    0.094  0.284  4.292  0.473 
*1.617   2.397  0.139    0.070  0.250  2.807   0.124
* Fit Q^2 dependence at W=2.2 and t=0.2
*0.70    2.19   0.18     0.024  0.152  4.79    0.98
*1.667  2.187   0.166    0.105  0.299  3.91    0.44
*2.279  2.264   0.202    0.147  0.439  2.34    0.21
*1.658  2.385   0.166    0.075  0.256  2.521   0.110
*1.610  1.944   0.195    0.156  0.357  5.443   0.468
* Fit Q^2 dependence at W=2.2 and t=0.5
*3.766  2.243   0.450   0.339   0.476  0.721   0.060
*3.44   4.0     0.527   0.037   0.20   0.0183  0.007
* Fit Q^2 dependence at W=2.2 and t=0.08
*0.70   2.19    0.070    0.024  0.152  10.4    1.8
*0.646  1.929   0.074    0.037  0.185  17.51   1.86
*0.781  1.930   0.079    0.050  0.215  15.79   1.93
*0.945  1.970   0.080    0.063  0.240  13.63   1.29
*1.416  2.274   0.079    0.069  0.248  6.44    0.68
*1.487  2.436   0.079    0.058  0.227  4.179   0.169  
*--------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2 and t=0.1-0.2, x=0.2-0.3
*--------------------------------------------------
*1.513   2.242   0.112    0.081  0.267  5.092   0.542
*1.573   2.410   0.112    0.066  0.242  3.269   0.134
*3.44    4.0     0.117    0.037  0.20   0.175   0.016
*1.050   1.926   0.120    0.120  0.271 10.55    1.07
*1.455   2.001   0.135    0.132  0.318  7.152   0.356   
*1.617   2.397   0.139    0.070  0.250  2.807   0.124
*1.35    2.19    0.14     0.14   0.256  4.62    0.21
*1.939   2.274   0.145    0.116  0.311  3.175   0.361
*1.667   2.187   0.166    0.166  0.299  3.91    0.44
*--------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2 and t=0.2-0.4, x=0.3-0.5
*--------------------------------------------------
*1.763   2.153   0.215    0.215  0.320  3.35    0.41
*1.702   1.911   0.255    0.255  0.381  4.08    0.41
*2.539   2.181   0.288    0.288  0.396  1.78    0.18
*2.703   2.127   0.365    0.365  0.426  1.58    0.19
**3.766   2.243   0.450    0.336  0.476  0.721   0.060
**1.939   2.274   0.145    0.116  0.311  3.175   0.361
**2.125   2.308   0.145    0.126  0.323  2.768   0.272
**1.455   2.001   0.135    0.132  0.318  7.152   0.356   
*--------------------------------------------------
* Fit x dependence at Q2=1.6, W=2.2 and t=0.01-0.1, x=0.1-0.2
*--------------------------------------------------
*0.35   2.10    0.013   0.009  0.090  34.1    4.3
*0.526  1.983   0.026   0.026  0.147  27.49   2.5
*0.70   2.19    0.050   0.024  0.152  11.39   1.6
*0.576  1.956   0.038   0.038  0.164  25.3    2.2
*0.612  1.942   0.050   0.050  0.174  22.7    2.0
*0.646  1.929   0.074   0.074  0.184  17.5    1.86
*--------------------------------------------------
